"","X__1"
"372","Haha! Are you sure it's not an old caravan? I hope you are having an ice cream! Xx"
"373","Ellie!"
"374","I have got cheap tickets to national theatre on Saturday!"
"375","Are you free?"
"376","You 100% can come this time if you say yes 😋"
"377","Hahaha! I am actually free on Saturday! What is it to see? Are you sure you're not going to back out if you get a better offer 😜"
"378","Seeing a play called Julie, don't know a lot about it but think it's about a girl whose just broken up and is going crazy with her decisions or something"
"379","It's Saturday evening! Can be your birthday present!"
"380","You are always the best offer."
"381","Hahahaha. Perfect! That sounds fun! What time is it?"
"382","19:30!"
"383","Oh shit I got a better offer..."
"384","Kidding!"
"385","Haha you better be kidding mister. It's in my diary now and my diary don't change! Haaaaa"
"386","Ellie's never changing pencil wrote it in there! You can't rub it out!"
"387","Yes my never changing pencil is magical"
"388","How are you doing?"
"389","Is your house repaired now?"
"390","Am good thanks! Really looking forward to tomorrow! I've got so much fun stuff planned for your birthday 😝"
"391","Ergh yeah it's kinda repaired but kinda not"
"392","The washing machine is bust and I am the only one dealing with it"
"393","Everyone else is too lazy but on the plus side I know a lot about washing machines now!"
"394","Think the flood waters clogged it up 😕"
"395","Haha! Yaaaay. Celebrate for me! Me and my family are going to an Escape Room"
"396","Washing machine knowledge will serve you well in life"
"397","Ah nice!"
"398","In fact I give you ultimate life points for sorting out the washing machine"
"399","Ellie ultimate life points is what I strive for 💪"
"400","And if any problems should befall any garment washing machinery I have in the future I will consult you"
"401","That's a lot of pressure..."
"402","OMG Benjamin!"
"403","Don't you mean a lot of water pressure?!?"
"404","😜😜😜"
"405","Hoho '"
"406","Haaaaaa"
"407","You are quite the comedian"
"408","Also also also do you want to go dry slope skiing?"
"409","I've always wanted to try it!"
"410","Yes yes yes!"
"411","When do you wanna go?"
"412","Is there a slope in Birmingham or was it Manchester where you said about it before?"
"413","My phone battery is about to die so if I go off air that is why."
"414","But this conversation will be continued when I get some charge!"
"415","Brum"
"416","So yeah!"
"417","Yeh man! Let's go to Birmingham!"
"418","Let's do it!"
"419","My weekends are pretty free atm so could do 23rd June?"
"420","My weekends are less so 😜 Could do that but I've got something else pencilled in that weekend but really don't think it'll happen"
"421","Can I let you know in a few days?"
"422","But use your regular pencil (the rubber outy one) and put it in for the moment"
"423","RICH! Thank you for the best birthday card ever! I LOVE hip hop dawg. Seriously it's so so kind of you :) and don't thank me for coming to Worthing...a big thank you to YOU for putting me up! Looking forward to our pencilled dry slope day! Just let me know when it can be changed to pen :) no worries if you can't make it - we will find a time we can both do :)"
"424","Haha the dawg is in the pound! Happy birthday!! Hope you have a fantastic day, you deserve a bit of fun! Enjoy escaping (or not as the case may be) and let me know how it is as I wanna try it so bad! 😊 Looking forward to Saturday, if you are free beforehand we can go to a museum or something and grab dinner? No worries if you aren't."
"425","Sounds good, I'll be able to meet at like 3 or 4 if that's any good? Yes let's do a museum!"
"426","Sounds good to me! I'll have a think at what I want to see! Do you have any suggestions or burning desires?"
"427","Yay! I would like to see the Rodin exhibition at the British museum but that might be a bit expensive..."
"428","Hmmm I might need convincing..."
"429","Would it be possible for me to stay at yours please? 😕 I am gunna be going back to my parents after the play but there's no trains when it'll be over."
"430","If you can't then I will try and find somewhere else"
"431","How was the escape room?"
"432","Ooo what's the band? Yes it's fine to stay but I'm up early on Sunday as out for the day so if you are ok getting up early?"
"433","How early is early?"
"434","But yeah should be fine!"
"435","Watched a few bands but Himalayas headlined!"
"436","Did you escape?"
"437","Like will need to leave around 9ish I think. Not sure yet."
"438","Yeah but did you escape?"
"439","Yes! Managed to escape! It was so so good."
"440","We got to walk through wardrobes and stuff!"
"441","Woweee"
"442","You should def go to one if you can!"
"443","Do you need a big crew to do one?"
"444","Yeh we went as a group of 6"
"445","Wouldn't really work with not many people"
"446","Sure!"
"447","The guy said that about a third of people who go don't get out!"
"448","Which is why I was worried you were still locked in there! 😜"
"449","Also feel free to say no but there is an open mic night at an art studio in Crystal Palace and I wana sing something but my guitar skills aren't up to speed...;do you fancy preparing a song to do (you guitar, me sing) at some point?"
"450","Yeah I'd love to! My guitar skills aren't exactly up to speed either but if I have a song to practise! 😊 Let's do it!"
"451","Yes yes yes! I was thinking we could decide on a song and then practice it separately then come together and practice and maybe record as I have a super nice microphone! We could always set up a soundcloud account?"
"452","What kind of song did you want to do? My voice suits high thing - kind of folky as well."
"453","Any ideas?"
"454","Or we could always write a song or two?"
"455","The open mic night is on 22nd June...is that too far in advance?"
"456","I meant to say is that too soon?"
"457","I reckon we should do a song that has already been written and then build up a little track list!"
"458","Do you know Emmy the Great?"
"459","Afterglow of Rapture (paperforest) is a great song"
"460","Done my good deed for the day, elderly lady knocked off her mobility scooter by a car. Her leg was very broken, she is never walking again in my opinion. It pisses me off the amount of people that stand around watching but doing nothing."
"461","Anyway, the 22nd is way too soon. Yes i reckon folk! You are the folk master so yes I reckon we cover something and write something."
"462","I'll look up the songs!"
"463","And yes a sound cloud is a sound way to start"
"464","Shall we practice before the theatre on Saturday?"
"465","Yes! Let's practice on Saturday! Do you wana come over at like 3.30? Xx"
"466","Sure!"
"467","Also if you have any song suggestions let me know!"
"468","And let's be really focused. I've found in the past the temptation has been (given that both our minds work at like the speed of light and link in hundreds of directions) to do loads of things but say if we work on one or two songs and work on getting them really good I reckon that's a better way to go."
"469","And it will be really nice to have more of an impetus to practice :)"
"470","Yes ma'am"
"471","I should totally be a band manager"
"472","I can be like Murray in flight of the conchords!"
"473","Hahaha!"
"474","Omg why didn't I ask you?!"
"475","Do you wanna go see flight of the conchords at the o2 in a few weeks?"
"476","It's £25 at the moment! Am so desperate to go."
"477","LETS GO!"
"478","I mean let's just do it"
"479","Yeah 😃"
"480","You are so up for stuff at the moment, this pleases me. 👍"
"481","It's because the rest of my life is so shit!"
"482","Haha"
"483","Oh so I'm the lowest of the low to go to then... I see..."
"484","Your life is what you make it"
"485","Noooooo what I meant was that basically when stuff is really hard, you need fun stuff to do to balance it out with :)"
"486","You always need fun stuff"
"487","The song dark eyes by bob Dylan is beautiful too! Obviously wanted sing it in his gravely voice but could do a sweet version!"
"488","Let's get a list together for tomorrow!"
"489","Ellie I think I took the wrong option..."
"490","I got drunk and lost at pool to some guy"
"491","I fucked up"
"492","Oh dear. It was going so well"
"493","Sorry!"
"494","I did get the bus and write shit down though!"
"495","Oh wait... No i didn't..."
"496","But I will have dinner 💪"
"497","Hi rich, sorry running late today. Is it ok if you came at 4? Not gonna be back for 3.30 xx"
"498","Phew here's a too much info text, I'm hiv negative yay! But on preventative medicine for it in case I got it yesterday, apparently I'm gunna feel horrible in a couple of hours..."
"499","Oh no - you well enough to go out?"
"500","I'm sure I'll be OK!"
"501","The doctor was the nicest guy! When I told him what we're seeing he was like, wow, be prepared.... Lollllll"
"502","Well at least it's negative. Is the medication really necessary? Is that what they recommended? Good to be on the safe side I guess!"
"503","When he realised I was an immunologist he asked me how the drugs he was about to prescribe me worked haha"
"504","Haha that's hilarious!"
"505","Oh they can't detect virus that's only just begun incubation so I am previously negative"
"506","Oh god, an intense play....that will be some light relief for us then!"
"507","I could be positive that's why they need to give the meds to prevent that happening 😞"
"508","Lol! Yeah good light relief"
"509","Oh cool, well that's good you got the drug. Will you need to go back for more tests then?"
"510","The virus would need time to infect my CD4s"
"511","Yeah I will after I'm done with the drugs"
"512","Cool. What time do you reckon you'll be at mine for?"
"513","But being on these drugs really reduces the chance of a virus taking hold, if there is any virus of course - quite interesting really haha!"
"514","I'm on a train, I ran"
"515","So about 20 mins?"
"516","I made some curry and got some Indian snacks for us to eat tonight before we go out"
"517","Yay!"
"518","Thank you!"
"519","😃"
"520","Well the curry is left over from my dinner the other night"
"521","But there's enough for us to have"
"522","Haha"
"523","Cool"
"524","Brill see you soon"
"525","See ya in a bit"
"526","Is the play at 7.30? We will probably need to get the 18.41 train to Charing x. So leave mine at 18.30."
"527","Yes it is"
"528","Ok"
"529","Hi rich, how was the dog show? Thank you so much for coming down to London at the weekend and for the theatre. Sorry if I seemed a bit weird. You've been open with me so I'll be open with you. I'm finding everything very hard at the moment and am on risk watch as I pose a significant risk to myself and so found the play suicide a bit too close to home. I think that's why I went all analysing it - to kind of distance myself from it but realise it might have come across a bit ungrateful so I'm really sorry if it did! Really didn't want to be rude. The same with doing yoga in the morning - I hope you didn't think it was rude but it really is my life line for coping with stuff at the moment. Anyway wanted to explain so you didn't hate me! Sorry again! Hope you have a good time in Worthing this week xx"
"530","Morning! Ah the dog show was surprisingly good actually, I did get to pet some nice dogs and it wasn't very serious haha! Saw some pictures of the 100 years of suffrage in the Guardian, looked awesome did you enjoy it? First of all, just because I have been open with you doesn't mean you owe me anything. Although as one of your best friends I am very very glad you are being open, it gives me great comfort that you are able to do that and I really appreciate it! Such an improvement I am proud of you! 😊 Secondly, woweee you have got completely the wrong end of the stick, you have nothing to apologise for!! You are such a grateful person, I didn't feel like you were ungrateful at all! I 100% expected you to analyse every part of it with your English Lit background, although I didn't realise that was the reason why. I do feel bad that I chose that play to see now to be honest, but I didn't know much about it or how you have been feeling so I guess it's one of those things. With yoga, I have also found it invaluable to help me cope at certain times so I completely get it! I know you do it every morning and thought nothing of it, you weren't being rude at all! To be honest the only thing I am offended by is what you just wrote ""explain so you didn't hate me"", I could never hate you. Ever. I care about you. You are so important to me, I just want you to know that I am always here for you for whatever you need - I am lucky as I know you are here for me too! 😊 Xxx"
"531","Haha look what I found in the charity shop..."
"532","Hahaha amazing!! Was literally about to barrage you with some funny/interesting pictures so be prepared! Glad you enjoyed the parade, it's very positive that it was so busy! I believe in you! Hell you might not believe in you sometimes but I do. Yes it is all hard changes but there will be a positive outcome, it will just be so so hard in the meantime - you can deal with it, YOU CAN DO IT! JUST DO IT 😜 lollllll"
"533","Have some pictures..."
"534","What a fit!"
"535","Ahahahaaaa these pictures made me laugh so much!"
"536","It's good to say if you don't understand something!"
"537","Haaaa good to know you loved beer in year 6!!"
"538","Your letter to santa was the best though...detailed instructions for where to leave the presents in your absence. Very practical"
"539","And I liked the thoughtful 'thanks by the way' comment added in there"
"540","It was crazy, Father Christmas actually found his way out to Amrica and I got some presents to our rented house haha"
"541","He's magic"
"542","Tonight is old photos..."
"543","Prepare yo self for some gangsta ass photos!"
"544","I was quite the happy chappy"
"545","Mum kept quite a few naked photos of me when I was young which I have ordered her to throw. Not impressed."
"546","You can unmute your phone now I'm done haha"
"547","AaaaaaaAwwwwwwwwwwwwwwwwwwwww"
"548","You are so sweeeet!"
"549","What happened?!? Looool. Only joking"
"550","You can soooo tell its you in all these photos!"
"551","You were a very active child by the looks of things!"
"552","Hahahaha!!"
"553","You still good for next Saturday?!"
"554","Yes! How much is it? I'll have a look at trains!"
"555","Hmmm I just rang up the Birmingham one and it's £25 per lesson for an hours skiing but they are fully booked this weekend. The Milton Keynes one is £89 for three hours which is obviously more but that's for three hours! Personally I think we should plan it better for a few weeks in advance and book the Birmingham one and leave skiing this weekend. I was really looking forward to you coming up to stay though and the weather's gunna be glorious! Do you still wanna come up? I can help out with train tickets thought it won't be expensive!"
"556","Also can I be really cheeky and ask if I can maybe stay over Wednesday evening please? Feel completely ok to say no and if I did stay I would leave early! I am really struggling to find somewhere, it's looking like I'll have to pay £100 for a travellodge at the moment 😥 Basically my friend Atusa from Manchester is coming down, she's Iranian and loves football more than anything haha! You'd get on really really well with her, we're gunna watch the Iran game and it's gunna be great she is so fun, lovely and full of life!"
"557","Obviously the invite isn't subject to giving me somewhere to stay, even if I can't stay then pleaseee come along you are both really similar and would get along! 😃"
"558","Hi Rich, aw I'm so sorry but it's my sisters bday on Wednesday so we have family staying so there's no room and we are out all evening. I'll ask my mum but I really don't think there will be enough room. Sounds best to organise skiing for another weekend! Hope all is going well. Xxx"
"559","Don't worry at all! Hope she has a great day! 😃 xxx"
"560","Haha I ❤this!"
"561","You are a fantasic person Ellie, truely one of a kind! I care about you and will always be there for you. It's Friday sooo have a great weekend!! 😄"
"562","I hope you are watching England..."
"563","6-1!!!"
"564","Crazyyyyyy"
"565","It was a bit of a boring match because it was too easy!"
"566","I wasn't overly impressed with England actually"
"567","But I was in a pub with amazing atmosphere so it wasn't boring!"
"568","We were in a pub too but my food was more interesting than the games"
"569","Haha!"
"570","We are at whitstable today!"
"571","Hahaha"
"572","Ah lovely!!"
"573","I went swimming in the sea again!"
"574","Yayayay"
"575","😃😃"
"576","So so nice!"
"577","I bet!"
"578","It's boiling!"
"579","And you can stay next Sunday :)"
"580","The sea was also a lot warmer than I thought it would be!"
"581","Oh I bet it would be warm today, I was tempted to swim in the canal, but that would've been gross. .."
"582","Thank you 😊"
"583","Eewwwww that would be gross!"
"584","Did you want to drop your stuff off before the gig on Sunday eve or shall I meet you at Brixton?"
"585","Dropping my stuff off would be optimal if poss?"
"586","Yeh no worries - what time?"
"587","Can I let you know later in the week? It's Mum's birthday and we'll be in Bromley but not entirely sure what time the celebrations are atm"
"588","Yeh no worries. Just let me know whether you need food round mine or not?"
"589","Oh no I won't need food but thank you 😊"
"590","Coooool I'll do myself something really cheesey then hahaha"
"591","Hahahaha"
"592","Only joking!"
"593","I wana do something Jamaican themed!"
"594","I do like cheese you know 😋 Oh yeah guess what, I tried hallumi last week (I know that spelling is wrong but can't be arsed to look it up)"
"595","Jamaican themed is good!"
"596","Omg Flight of the Conchords were really special! 😊"
"597","You seen the finale of The Bridge?"
"598","Yes! It was soooo good! What did you think?"
"599","Also does the Damian Marley gig start at 8pm tomorrow?"
"600","Here we go!"
"601","Been listening to his support artist Christopher Ellis but can't say I'm very impressed!"
"602","So don't mind too much if we don't see too much of the support"
"603","Just wana see the big DM himself"
"604","Yeah was alright. Dunno when it starts, says doors are at 18:30 so was thinking of getting there at 20:00"
"605","Didn't know there was a support haha"
"606","Yeah am excited for him!"
"607","Yeh lets aim for 8! We can get the 19.42 to brixton from Kent house!"
"608","Sure! I'll let you know when I'm done with birthday stuff and heading around to yours"
"609","Cool! I'm not back til 7 but will be in communication :)"
"610","Ok trains aren't that regular, would you be back by about 18:45?"
"611","Sorry just seen this! I'm back now just getting myself some food together."
"612","No worries, I should be with you in about half hour max"
"613","Oh yeah by the way"
"614","Haha! You were right!"
"615","I need a holiday abroad!!! Fancy arranging something for August or September??"
"616","Maybe September!"
"617","But maybe not for overly long"
"618","As I need to get back to work properly haha"
"619","I just got dumped (yay)"
"620","But I was also going to dump her so don't feel quite so bad, but still feel a bit shit 😟"
"621","Aw rich sorry to hear. At least you were going to dump her though!"
"622","Do something fun tonight to forget about it!"
"623","I would do but I'm stuck with her sitting two places next to me..."
"624","Mutual friends thing"
"625","😕"
"626","Might make excuses fairly early"
"627","Meh still feel pretty shitty, home now though! C'est la vie, I'll be good by tomorrow 😊"
"628","Actually what am I talking about? Early August would good for me and we could go for multiple days?"
"629","Urgent, serious question..."
"630","Do you know a Hannah from the Roundhouse choir?"
"631","She's from Denmark. I believe her surname used to be Freedsgard-Larsson and might be Jones now?"
"632","Oh my gosh yes yes yes!!! She was in Ulysses with me but I don't think she's  in the choir"
"633","How come?"
"634","Hahaha no way!"
"635","What's her real surname...?"
"636","What do you mean?"
"637","Which surname is correct 😝"
"638","Not sure cos she got married"
"639","So depends what one she prefers"
"640","I'm going out with an artist at the moment who is a violinist and she's super awesome and knows her hahaha!"
"641","Why do you wana know?"
"642","Cools"
"643","Small world"
"644","Small world"
"645","Exactement"
"646","Haha"
"647","They play in the same band, Asthmatic Harp apparently!"
"648","Hannah was so lovely :) I remember hearing a recording of their band and it sounded amazing"
"649","Yes they do sound awesome!"
"650","Hi rich, thanks for your message. It's been a bit hectic recently. I'm busy Saturday and Sunday but I'm meeting Dom, Hugo, Leena, Dilan and others on Friday for trump protests and we're having a reunion and getting some dinner afterwards. What are your plans?"
"651","I'll be in London all day Friday for the protest with almost certainly no friends so would love to meet with you guys, but if you don't want that or can't do that then no worries! 😊"
"652","Brill I'll text you deets once they are finalised"
"653","Cool! Only if you're sure? Don't wanna ruin your reunion!"
"654","Haha no of course you're not gonna ruin it. It's only a reunion cos Dom's coming down from Edinburgh and we haven't seen him in a while !"
"655","😄"
"656","This girl I'm going out with asked Hannah about you, and apparently she said that you are really really sweet which is true! 😊"
"657","Quote!"
"658","Hey Rich, so current plan is to meet outside Leicester Square TGI Friday's at 16.50 and then head to the rally but if you are going to the marches earlier just let us know where you are at around that time and then we can come find you or meet up then...just whatever is best. Anyway hope all is good!"
"659","Cool! Am gunna be there earlier so will work something out. I'll look out for the beacon of hope that is Hugo amongst the crowd haha"
"660","Haha yes! Good strategy!"
"661","Where you at?"
"662","👩‍🎓🎉🎊"
"663","Well done! 😃"
"664","Hey Rich, sorry just seen your message. How are you? How is everything going?"
"665","I'm good, plenty going on! More importantly how are you? 😊"
"666","I am gunna guess that you've seen my Facebook post, is there anything cool you want for Christmas this year?"
"667","You are spoilt because I always think about what to get you haha!"
"668","Aw I haven't seen your fb post - where are you going at Xmas?!"
"669","Not going anywhere, read the post"
"670","Has boo been a good doggie this weekend? 👻 How was Brighton?"
"671","Wow looks awesome! Who won?"
"672","Brighton was fun - we made terrariums!"
"673","Nobody won, we were a team!"
"674","But Charlie was a secret saboteur which none of us knew about haha"
"675","Oh wow they look very fancy! You get to keep them yes?"
"676","Hehe! Are you having fun?!"
"677","Mixed fun but mostly yes! The setting is so amazing! The festival is very experimental, some amazing artists and others not so much! It is very much like a long conference instead of a festival in the way it's set up which can be tiring"
"678","Also not sure how I feel about the girl I'm seeing now, we'll see but I might end it soon 😞"
"679","Aw sounds a really different kind of experience! Ah why aren't you sure about the girl?"
"680","Rich! Are you free any weekend in September and fancy going to Go Ape?!?"
"681","Yeah I totz do!"
"682","The weekend of the 15th or the 22nd would be good!"
"683","Let's go on the 15th! Do you reckon we should go for the go Ape at battersea or at Cockfosters?"
"684","I have no idea which is better, will have a look"
"685","How did it go with your phone in the end?"
"686","I've decided to buy an iPhone SE outright and then get a sim only contract. God decisions decisions! How's Manchester?"
"687","Rich! You still up for Go Ape on the 15th? We should book!"
"688","Sorry I have been shit at replying, yes!"
"689","Was gonna ring you later"
"690","Brilliant! Do you reckon we should go for battersea park or Cockfosters?"
"691","Although Cockfosters might be better, I think Battersea as I need to get back that evening"
"692","Oh yeah also newsflash"
"693","Caffeine dependence goes yeah"
"694","I don't have any caffeine some days!"
"695","In fact, most days now. And it wasn't something I consciously stopped I just kinda didn't need it anymore! Now it is a treat!"
"696","Not a needed treat 😛"
"697","Gonna be £36 each basically! And 14:00 isn't available, 13:30 would be best with me as 15:00 is too late!"
"698","Or £32 in the Midlands"
"699","If you wanted to come up!"
"700","Thanks for looking this up Rich. I'm not sure I'm gonna be able to come up to the midlands - are you alright to come down for it? Do they have any 2.30 slots? If not 1.30 will be alright. Xx"
"701","Also thank you for the pep talk earlier and sorry for having a manic breakdown on you! Was so pleased to speak to you - you made me feel a lot better and more sane!"
"702","There's no 2:30 so I'll book for 1:30!"
"703","You didn't have a manic breakdown, but it does honestly upset me a bit to hear you talk about yourself like that! But please please please ring me anytime if you need cheering up or want a chat! 😄 Even if I'm at work I'll make time 😊"
"704","Also I wanted to say please think about antidepressants, I know why you are against them but they put you in a level headspace eventually with time and they help in ways you don't even realise, there's nothing for you to lose."
"705","Cool! We are adventuring at 13:30 in Battersea! 😁"
"706","You owe me 36 big ones!"
"707","Amazing. Do you want me to transfer you the money? Account details please!"
"708","Yes please!"
"709","08795919 and 09-01-27"
"710","Just double checking this is definitely the 15th September yes?!"
"711","Yes"
"712","Perfect thanks Rich, just transferred the money xx"
"713","Wtf! Crazy!"
"714","The flights to Oslo appeared on my calendar too!"
"715","I didn't even book them, crazy world we live in"
"716","Lololol"
"717","I completely forgot that my housemate is going to Oslo"
"718","She's going on the 26th until the 2nd 😝"
"719","We might be able to have tea at her sisters house but dunno, think it's a little way out of the city"
"720","But hahaha"
"721","Haha that's so strange! Everyone's going to Oslo!"
"722","Haha I've actually read that paper when I wanted to set up a dance group on placement! Why do you have to read it?!?"
"723","Haha nah I don't have to read it but Nature journal recommended me papers I might be interested in and that came up. Had a feeling that you might have read it!"
"724","I did skim read it haha"
"725","https://m.ebay.co.uk/sch/i.html?_from=R40&_nkw=hippy+trousers&_sacat=0&_pgn=1"
"726","Do you have some of these? If you do are they really really comfy? My housemate has some he was wearing and I think I want some so bad 😊"
"727","Random question hahaha"
"728","Haha I do have a pair of these actually! They are indeed very comfortable - great for lounging !"
"729","Hey rich, would you be able to transfer me the money for the flights by any chance? Hope your having a lovely weekend xx"
"730","Yeah, I need account deets though"
"731","Account number - 05118308"
"732","Done! 😊"
"733","Thanks Rich! Are you still on Facebook? I've got some air b n b things I've found to send you!"
"734","Oh my God Ellie I have had an insane hour"
"735","I am in disbelief"
"736","Literally disbelief"
"737","What's happened?!?"
"738","I might ring you when it all is less unbelievable!"
"739","It's all fine, just unbelievable situation and so so funny"
"740","In a bad way funny and not me!"
"741","I can't even explain"
"742","Hi rich, sorry I missed your call last night! Is everything ok? Got your voicemail....am free to speak this afternoon at 4 if you want xx"
"743","Oh yeah I'm fine! Am busy at 4pm! Xxx"
"744","Also I don't respond to things on Facebook, you'll have to send those links by snail mail I'm afraid."
"745","Ok you don't have to respond on Facebook but can you still access the links? We should probably book an air b n b or somewhere to stay soon!"
"746","Haha I'm kidding"
"747","Just not had time to look"
"748","No more monkeys jumping on the bed!!"
"749","Are you ready to glide like a gibbon?"
"750","And erm shake like a spider monkey?"
"751","Wooooo! Certainly am! I'm the king of the jungle! Do you wana meet there or at Victoria station? I think it's either about a 30 min walk from Victoria or a train to battersea park and then a 15 min walk xx"
"752","Woop woop!! We'll meet at Victoria then get the train to Battersea Park then walk. I should be at Victoria at maybe quarter past 12 getting lunch but come whenever, remember we have to be there for like 20 past 1 I guess! Don't be late 😛 Xxx"
"753","Brill! I'll get the train that gets in at 12.47 and then we can get the 13.04 train to battersea park :)?"
"754","Sure!"
"755","I'm so excited!"
"756","People say we monkey around"
"757","🙉"
"758","But we're too busy singing"
"759","To put anybody down!"
"760","Hey hey! Were the monkeys!"
"761","I'm outside burger king!"
"762","🍔👑"
"763","Norway!! 👊"
"764","So excited!"
"765","Off topic, have you seen Lord of the Rings?"
"766","Also I don't think we'll be able to stay with my aunty and uncle before flying 😞 Sorry!"
"767","How is that bite? Does it still hurt?"
"768","Yay Norway!"
"769","I have seen lord of the rings? Why do you ask?"
"770","Yeh bite is swollen! But I'm still alive!"
"771","How was your party?"
"772","Oh I just watched two out of three films being hungover yesterday haha! Yeah party was good, the clubbing was a bit rubbish but nevermind!"
"773","Good! Have you got some kind of cream to put on the bite?"
"774","Yeh got some cream to put on it!"
"775","Good!"
"776","I think I worked out why my Spotify got hacked.. You know the Buddhist related password I told you at the peace pagoda? Yeah it was that one, aka not hard to hack!"
"777","I'm surprised it lasted that long tbh!"
"778","https://monzo.com/golden-ticket?utm_campaign=golden_ticket&utm_content=0vX7GyQoGYGUiDzQbD51TE&utm_medium=golden_ticket&utm_source=referral_link"
"779","If you are interested in getting Monzo! 😊"
"780","That's your invite! It's useful going abroad."
"781","Thanks Rich! I'll check it out today!"
"782","Awww have you got your Spotify sorted now?"
"783","Here's to a year of complicated passwords!"
"784","I think my Spotify is sorted now!"
"785","Haha loving the bus advert!"
"786","Is Monzo only on your phone or do you get a card version?"
"787","I don't like the idea of using my phone to spend money!"
"788","You get a card!"
"789","Same"
"790","Perfect! Will it arrive by next week if I sign up today?"
"791","Easily"
"792","Probably arrive by Thursday"
"793","Great. By the way, what's your budget gonna be for Norway?!"
"794","I got kroner out today"
"795","60 quids worth"
"796","But the rest I'll put on card"
"797","Should i get kroner too or just card?"
"798","Up to you"
"799","Is Norway a cashless society?"
"800","I'm not that boss of you 😝"
"801","Dunno"
"802","Ask Dr Google"
"803","Or actually"
"804","My housemate just came home and we were literally just talk about Norway"
"805","Ask her!!!"
"806","She's Finnish and has been"
"807","I'll text her she just went out"
"808","I'll let you know"
"809","She's lovely, she hung my washing out when I was stuck at work earlier 😄"
"810","Awww that's so sweet!"
"811","How much do I owe you for accommodation btw?"
"812","It's cashless!"
"813","She recommends taking a little bit"
"814","But I have some if we need it"
"815","In terms of budgeting, I'm going to have to eat a lot of food whilst we're away (which I might find quite hard but is what I need to do in order to stay in treatment) so allowing £30 a day for food, going to allow £x for travel and getting around and then £x for sightseeing. Just need to research what those x numbers will be!"
"816","Sure!"
"817","You owe me £80 please for accommodation"
"818","Will transfer!"
"819","Lemme know when you've joined Monzo and you get to the screen where it says your card is on its way please!"
"820","The housemate I was just talking about is sold on it and wants an invite too but wanna make sure you get the invite first, I might have to wait a while before getting another invite to give out"
"821","https://monzo.com/share/run"
"822","I take that to mean you've got your card on the way?"
"823","Yes! Card on way!"
"824","My internet crashed whilst I was making transfer to you....can you check whether it went through or not? Xxx"
"825","Ok so I made the transfer again just to be on the safe side so let me know if you get two lots of £80!!"
"826","Oh shit"
"827","I was literally about to text you"
"828","I just checked and it's fine"
"829","I got the first lot"
"830","I'll transfer you back tomorrow, just turned my computer off!"
"831","But thanks 😊"
"832","Soz was out earlier"
"833","Haha no worries! Sleep well and we will talk more Norway tomorrow!"
"834","NORVAYYY"
"835","Goodnight!"
"836","Xxx"
"837","You are in luck"
"838","We can continue our tradition of free tours around parliament buildings! The Oslo parliament does the same as the reichstag!"
"839","We can also rent a cinema in a library for free too... Yes that is as strange as it sounds."
"840","Amazing! That sounds really good! Do we have to 'book' for the library cinema"
"841","Haha geddit?"
"842","A little pub"
"843","Oh dear"
"844","*pun"
"845","Alright there Dad!"
"846","Haha although let's find a little pub in Norway too!"
"847","😄"
"848","The opera house looks amazing too!"
"849","I've gone a bit mad finding events lol"
"850","There's a coffee festival on the Monday..."
"851","Wow yes please"
"852","I've just been reading the guide book haha"
"853","I still haven't had time to look really 😟"
"854","Let's both have a look when we can find the time and we can make a rough plan of what we want to do 😊"
"855","No stress though - we'll have a nice explore and holiday whatever"
"856","Sure, but we're not making an uber rigid plan though. 😛 Is it possible for me to stay over yours again like last time in Berlin on the Saturday night please?"
"857","Yes of course you can 😊"
"858","Also sent you an email about cabin bag issues!"
"859","I think you've completely misunderstood about the bags tbh but I'll look in detail later"
"860","Plus that link said the policy is effective from the 1st of November..."
"861","Lol I've spend all evening learning to play Jordan by Bellowhead on melodica..."
"862","Will look up bags in a bit"
"863","Gutted, am missing researchers night in Oslo"
"864","Notes from this morning!"
"865","Hoho I've got a £66 tax rebate, that'll pay towards Oslo! 😄"
"866","Fancy any of these?"
"867","co.uk/amp/s/amp.theguardian.com/books/2014/may/21/top-10-norwegian-novels-dea-brovig-knausgard-hamsun"
"868","They all sound pretty damn good! But I like the sound of either 'Dina's Book' or 'The Ice Palace'. The decision is now yours. Yes you have to make this choice Ellie, good practise you know!"
"869","I'm gunna look at Norway again now, am watching the London Olympics opening ceremony in the background haha! Also Naiomi's party is cancelled next week, so I will come over yours whenever I can next Saturday as I'll be in London already, depends when you are free really? And I'll have dinner please! 😄 Will put money towards it!"
"870","Omg the Queen just jumped out that helicopter 😮"
"871","I have found some free music! Might not be crazy good but I want to go to this place so yeah!"
"872","Ok Monday is our let's go explore nature/get out of the city day! A few museums are closed that day. Though as that week is the Autumn holiday week they might actually be open"
"873","Also I'm gunna share with you a Google map itinerary to your Gmail! It basically is a list of places etc so week can get an idea of areas and what we've done etc! Feel free to add things"
"874","Lemme know if you've got questions!"
"875","Rich! All of this is amazing! Thank youuu!"
"876","I haven't been very good at looking today!"
"877","But let's read Ice Palace!"
"878","I also might order the Naive super too as it sounds interesting!"
"879","Haha laughing so much that you were watching the Olympics haaaa"
"880","😄"
"881","That's exactly the one I didn't want you to read, you are living that kind of shit at the moment, do you really need to read that at this moment in time? If want to buy it then fair enough! I'm just asking the question."
"882","It does look interesting though, but yes just querying you"
"883","Haha the same thought did cross my mind about Naive super!"
